iter	Logloss
0	0.6620488967
1	0.6424331383
2	0.627788399
3	0.6164516373
4	0.6078298332
5	0.5997505902
6	0.5930248829
7	0.5875278961
8	0.582790732
9	0.5786815849
10	0.5745513014
11	0.5713196855
12	0.5684081993
13	0.5654566379
14	0.562933724
15	0.5606521359
16	0.5585818896
17	0.5565748517
18	0.554807663
19	0.5531640007
20	0.5515028203
21	0.5501265806
22	0.5488645491
23	0.5476452441
24	0.5465532435
25	0.5453769778
26	0.544300122
27	0.5433482674
28	0.5424972475
29	0.5416005523
30	0.5406416445
31	0.539786759
32	0.5390602118
33	0.5383303118
34	0.5375741341
35	0.5369268612
36	0.5363500719
37	0.5357751174
38	0.5352252363
39	0.5346710763
40	0.533985707
41	0.5334697302
42	0.5328081782
43	0.5323287436
44	0.5318659255
45	0.5313861503
46	0.5309336061
47	0.5305177556
48	0.5300600451
49	0.5296527104
50	0.5292713655
51	0.5289219454
52	0.5285042226
53	0.5280670149
54	0.5277064146
55	0.5273607299
56	0.5270183102
57	0.5267043312
58	0.526335052
59	0.525997673
60	0.5256323539
61	0.525280369
62	0.5249154398
63	0.5244649999
64	0.5241246617
65	0.5238174421
66	0.5234561874
67	0.5231186993
68	0.5227665316
69	0.5224715178
70	0.5221566739
71	0.5219198929
72	0.5216968585
73	0.5213909599
74	0.5211384917
75	0.5208217814
76	0.5205697058
77	0.5203472479
78	0.5200862944
79	0.5197626558
80	0.5194878882
81	0.5191704119
82	0.5189622185
83	0.5187450693
84	0.5184696308
85	0.5182092124
86	0.5179610053
87	0.5177454632
88	0.5174535794
89	0.5172096895
90	0.5169744288
91	0.5167685285
92	0.51655623
93	0.5163435425
94	0.5161307427
95	0.5159536104
96	0.515789003
97	0.5155673226
98	0.5152955563
99	0.5150686065
100	0.5148444373
101	0.5146578633
102	0.5144711836
103	0.5142741042
104	0.5140567126
105	0.5138478887
106	0.5136857227
107	0.5134683773
108	0.5132867914
109	0.5131063172
110	0.5129661752
111	0.5127882401
112	0.5125947079
113	0.5124669083
114	0.5122806472
115	0.5121152715
116	0.5119269197
117	0.5117647689
118	0.5115886461
119	0.5113977559
120	0.5111912441
121	0.5110624769
122	0.5109146634
123	0.5107627194
124	0.5106046573
125	0.5104164634
126	0.5102307701
127	0.510082352
128	0.5099088268
129	0.509758814
130	0.509601234
131	0.5094684556
132	0.5093430599
133	0.5092334942
134	0.5090691095
135	0.5088693017
136	0.5087279435
137	0.5085035101
138	0.5083276561
139	0.5081876302
140	0.5080491226
141	0.5079161227
142	0.5077849446
143	0.507669675
144	0.5075311628
145	0.5073890575
146	0.5072180797
147	0.5070929982
148	0.5069728729
149	0.5068212749
150	0.5066859172
151	0.5065267005
152	0.5063726427
153	0.5062291339
154	0.5060641741
