,0,1,2
800,0.7720332499498846,0.768705511821965,0.7743454999551935
600,0.760334163263096,0.7561502778503093,0.7630817279815705
400,0.7308738684466691,0.7326866471508168,0.7259984722814365
200,0.6733074805790559,0.67337511965493,0.6723192529767087
0,0.6516216603926753,0.6515552763403812,0.6514263521095482
