,StaticvsGrowing,StaticvsUniform,GrowingvsUniform
NormalRandomForestClassifier,0.40567889528505463,0.0001570522842307523,0.0001570522842307523
NormalXGBClassifier,0.7054569861112774,0.08209870865427439,0.08209870865427439
WeightedRandomForestClassifier,0.36434612663355215,0.0001570522842307523,0.0001570522842307523
WeightedXGBClassifier,0.8798291600118151,0.004071994217732751,0.006501702373081832
PURandomForestClassifier,0.0031970994479345533,0.0001570522842307523,0.0001570522842307523
PUXGBClassifier,0.939742989577122,0.0002851180836316128,0.0002851180836316128
