,NormalvsWeighted,NormalvsPU,WeightedvsPU
StaticRandomForestClassifier,0.32575135447871234,0.0001570522842307523,0.0001570522842307523
StaticXGBClassifier,0.01910992220684442,0.0001570522842307523,0.0001570522842307523
GrowingRandomForestClassifier,0.25683925795785484,0.0001570522842307523,0.0001570522842307523
GrowingXGBClassifier,0.012611144099313912,0.0001570522842307523,0.0001570522842307523
UniformRandomForestClassifier,0.0001570522842307523,0.0001570522842307523,0.0001570522842307523
UniformXGBClassifier,0.0001570522842307523,0.0001570522842307523,0.028365505605210242
