,PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
800,0.8724134104688526,0.0371667190709859,0.872026000469888,0.03801785574438099,0.8719897442876334,0.03811384454028344,0.872026000469888,0.03801785574438099,0.8720258442875444,0.03801789065154315
600,0.8569951286197256,0.0013698820240204412,0.8569930648010372,0.0013692544576096033,0.8569928562727062,0.0013691961726939317,0.8569930648010372,0.0013692544576096033,0.8569930543789342,0.001369263097639406
400,0.830777149417258,0.001676514310933852,0.830745686167019,0.0016704360491350823,0.8307416609713412,0.0016689373994296375,0.830745686167019,0.0016704360491350823,0.830745686167019,0.0016704266276781343
200,0.8078128446991437,0.000669997497438124,0.8076569155447952,0.0006821870530921981,0.8076325462607068,0.0006841978741155552,0.8076569155447952,0.0006821870530921981,0.8076568874107981,0.0006821727857103665
0,0.7963195426681127,0.0009110601420893039,0.7960743574622521,0.0009397760200485772,0.7960321493157814,0.000945036528503973,0.7960743574622521,0.0009397760200485772,0.7960743216825494,0.0009397418786650791
