precision,recall,WAF,accuracy,AUC
0.7412035450044893,0.7411861373590791,0.7411814676295806,0.7411861373590791,0.7411861373590791
0.7412116178399848,0.7411861373590791,0.7411793022033897,0.7411861373590791,0.7411861373590792
0.7383446934681762,0.7381431525879297,0.7380877852777388,0.7381431525879297,0.7381431525879297
0.7387038113588945,0.738526136941278,0.7384774721728347,0.738526136941278,0.7385261369412781
0.7382532195645752,0.7380735190691391,0.7380241207909414,0.7380735190691391,0.738073519069139
0.7418441031973222,0.7418302474078923,0.7418265495743311,0.7418302474078923,0.7418302474078923
0.7420485793969375,0.7420426296402036,0.7420410444284283,0.7420426296402036,0.7420426296402036
0.7411964294285813,0.7411582839515629,0.7411480495223557,0.7411582839515629,0.7411582839515629
0.7381779279246239,0.738007367226288,0.7379604551885689,0.738007367226288,0.7380073672262881
0.738921960233851,0.7387454825254685,0.7386972302489149,0.7387454825254685,0.7387454825254685
