precision,recall,WAF,accuracy,AUC
0.8837369163233945,0.8822357930213287,0.8821205111445863,0.8822357930213287,0.8822357930213288
0.8838300397483986,0.8825143270964911,0.8824135598616728,0.8825143270964911,0.882514327096491
0.8837892428453069,0.8824307668739424,0.8823266365213234,0.8824307668739424,0.8824307668739424
0.8839435191910363,0.8825421805040075,0.8824349065786637,0.8825421805040075,0.8825421805040075
0.8842116926581459,0.8828067878754117,0.8826995579581612,0.8828067878754117,0.8828067878754118
0.8847637356929285,0.883360374349797,0.8832539214031792,0.883360374349797,0.8833603743497971
0.8835397528733474,0.8822253479935102,0.8821243569493753,0.8822253479935102,0.8822253479935102
0.883311820791318,0.8817588034176131,0.8816389161550691,0.8817588034176131,0.881758803417613
0.8834827168436629,0.882093044307808,0.8819861290361902,0.882093044307808,0.8820930443078081
0.8844956499929869,0.8831654004971833,0.8830642590991093,0.8831654004971833,0.8831654004971834
