precision,recall,WAF,accuracy,AUC
0.8362078409601054,0.8324392998306042,0.8319684349467356,0.8324392998306042,0.832439299830604
0.8290128928619873,0.8244635798983625,0.8238546826537023,0.8244635798983625,0.8244635798983626
0.8333368939496417,0.8289687301475259,0.8284057077257023,0.8289687301475259,0.828964688516647
0.834712131119273,0.8305922213594974,0.830068479680096,0.8305922213594974,0.8305883042983204
0.8338495221571482,0.8300981153384627,0.8296186849225212,0.8300981153384627,0.8300943726610815
0.8377174148919715,0.8329921648902379,0.8324050637826784,0.8329921648902379,0.8329879887528636
0.8341803998425744,0.8293216630196937,0.8286999258681007,0.8293216630196937,0.8293259171939907
0.8340932956554737,0.829109903296393,0.8284711851137029,0.829109903296393,0.8291142122767448
0.8326340087136008,0.8275569986588551,0.8268974219023224,0.8275569986588551,0.8275613574561147
0.8300637208243056,0.8258629208724501,0.8253079562718219,0.8258629208724501,0.8258669009939658
