PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
0.8573870516098947,0.02644197420641825,0.8452032265643354,0.01852141906179028,0.8438759225309553,0.017909530990746436,0.8452032265643354,0.01852141906179028,0.8452017827740743,0.018518574126083043
0.8297128523119535,0.0028609766647643697,0.8114432501377793,0.0032454003465691716,0.8087943248911545,0.003263665935634541,0.8114432501377793,0.0032454003465691716,0.8114423278059539,0.0032486728818011956
0.775656374926831,0.002296491816311308,0.7618764194533636,0.002008771242853813,0.7588470941910123,0.0019897985663267503,0.7618764194533636,0.002008771242853813,0.7618764039393133,0.0020061317035374726
0.71011102709662,0.0023672673271719624,0.7096271465209009,0.0021939453353213567,0.7094599674746156,0.0021378174249191417,0.7096271465209009,0.0021939453353213567,0.709627320790461,0.002194606756547257
0.6889968443495786,0.001099661706046251,0.6875244733338555,0.0008612131455096872,0.6868752809382916,0.0007976160062324045,0.6875244733338555,0.0008612131455096872,0.6875237819243265,0.0008613765912742766
