PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
0.8659930300814058,0.0038317015744768756,0.8652204856306781,0.0039107348932236885,0.8651491512113347,0.00392051769125068,0.8652204856306781,0.0039107348932236885,0.8652189263873746,0.0039116003679730005
0.8427250513889107,0.005821916805575533,0.8422037128538151,0.005514820251148578,0.8421436412028602,0.005482555884334217,0.8422037128538151,0.005514820251148578,0.8422038690152329,0.005515304217723838
0.7986220585736212,0.001791676222177907,0.7973688588222247,0.0019823666407895457,0.7971559476023209,0.002022256135473577,0.7973688588222247,0.0019823666407895457,0.7973688588222247,0.0019823666407896567
0.7380529751981004,0.0014975524890401548,0.7365407787379076,0.0013770804361136202,0.7361218071309252,0.0013485208114951686,0.7365407787379076,0.0013770804361136202,0.7365410530080565,0.0013774872377830816
0.7140871286517012,0.0010012759272408633,0.7131047978945948,0.000966421618982416,0.7127753014331402,0.0009572542243863058,0.7131047978945948,0.000966421618982416,0.7131047978945948,0.0009663273161997221
