,PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
800,0.7937706005232068,0.008766744260094272,0.791604758273915,0.0085368447548001,0.791221287847168,0.008519383081383003,0.791604758273915,0.0085368447548001,0.791607919932936,0.008536648542747272
600,0.769677902652391,0.004462675656012993,0.7693936613256158,0.004372257371803245,0.769332765667836,0.0043712837962552875,0.7693936613256158,0.004372257371803245,0.7693935505624087,0.00437337317551123
400,0.7322258859607007,0.0031903618132371747,0.7321448375291117,0.0032022845735832917,0.7321214586298498,0.0032060080619434883,0.7321448375291117,0.0032022845735832917,0.7321448375291115,0.0032022845735832917
200,0.6775853599620605,0.0015519373394692337,0.6773986986607912,0.0014894717629825305,0.6773139018541672,0.0014623222582422768,0.6773986986607912,0.0014894717629825305,0.6773987005418423,0.0014895276306443606
0,0.6551549072330988,0.0009161808530652182,0.6547968731604812,0.0009081809388848949,0.6545880532686188,0.0009103212418166695,0.6547968731604812,0.0009081809388848949,0.6547968265949574,0.0009081809388848949
