precision,recall,WAF,accuracy,AUC
0.7167773926849791,0.7163420272784798,0.7161995344387937,0.7163420272784798,0.71634202727848
0.7166470887590501,0.7162198567785832,0.7160798828760626,0.7162198567785832,0.7162198567785832
0.7147042993589966,0.7142682613571576,0.7141231161672726,0.7142682613571576,0.7142682613571576
0.7160599119038357,0.7156371974713839,0.7154980426851512,0.7156371974713839,0.7156371974713839
0.7158807144725681,0.7154649057407605,0.715327828680836,0.7154649057407605,0.7154649057407605
0.7161197781318481,0.7156559929329065,0.715503363068928,0.7156559929329065,0.7156559929329066
0.7156943462013017,0.715226829894808,0.7150724351632393,0.715226829894808,0.715226829894808
0.7167667352009423,0.7163107015092756,0.7161614166606597,0.7163107015092756,0.7163107015092756
0.7162827241603913,0.7157718982789623,0.715603973573651,0.7157718982789623,0.7157718982789623
0.7170214517666028,0.7165487773552279,0.7163943535287846,0.7165487773552279,0.7165487773552279
