,0,1,2,3,4,5,6,7,8,9
800,0.8609939155146423,0.8625522388998669,0.8648694009417213,0.8669591704450964,0.8618855252328811,0.8633413983202853,0.8578785177370544,0.8680845103714139,0.8694774504488523,0.8696122089504298
600,0.8418751379355163,0.8395845996252933,0.8390839266641811,0.8445293649339932,0.8449405189796474,0.8404960905372466,0.8393305000505578,0.8441350734362147,0.8435804751876601,0.8435300789483086
400,0.7965843881730936,0.7980286961973609,0.8013614193622564,0.7999653551238857,0.7984439629217693,0.8005271734410012,0.8015713820235012,0.7960486843897739,0.8012545504026146,0.8009808155542316
200,0.7371385155467188,0.7359956160050248,0.7365626465334688,0.7390758665345913,0.7359139081854658,0.7344084013375688,0.7351554705757045,0.7363674625908804,0.7371497676304186,0.7372505577500807
0,0.7124938111267417,0.7129072680640729,0.7116529229081606,0.7124314793086884,0.7132675862770399,0.7130051160029234,0.7120656973616692,0.712260408079222,0.7143307247362851,0.7129374596021482
