precision,recall,WAF,accuracy,AUC
0.7120317820156818,0.711180292463767,0.710890091886032,0.711180292463767,0.7111804068891636
0.7118782654316466,0.7110683342422415,0.7107918964841679,0.7110683342422415,0.7110682225875391
0.7116689402160552,0.710735026436682,0.7104156044456431,0.710735026436682,0.7107350264366821
0.7124958331960595,0.7116487532865274,0.7113611003366591,0.7116487532865274,0.7116487532865273
0.7138990481658366,0.7130572650313484,0.7127746767789008,0.7130572650313484,0.7130572650313485
0.7121365829638628,0.7112442576059634,0.7109402844409667,0.7112442576059634,0.7112442576059634
0.7136431587123427,0.7128514056224899,0.7125851185789376,0.7128514056224899,0.71285140562249
0.7121175617094683,0.7112731501545752,0.7109855181852923,0.7112731501545752,0.711273150154575
0.7123303339986222,0.7115006789748923,0.71121858438705,0.7115006789748923,0.7115006789748922
0.7144851455368775,0.7136315044350062,0.7133462872576251,0.7136315044350062,0.7136315044350061
