precision,recall,WAF,accuracy,AUC
0.9523962539057275,0.9519706148596895,0.9519593150361706,0.9519706148596895,0.9519706148596895
0.9233300120768437,0.9191560476289952,0.9189562781796596,0.9191560476289952,0.9191560476289952
0.9066473910771184,0.8990146925701553,0.898538589456152,0.8990146925701553,0.8990146925701553
0.8887937344893347,0.8753394610403176,0.8742515746170008,0.8753394610403176,0.8753394610403176
0.8785646723113824,0.8611517303808927,0.8595364959050869,0.8611517303808927,0.8611517303808927
0.8476795153184499,0.8162036069911566,0.8119474423300675,0.8162036069911566,0.8162036069911566
0.86017967671905,0.8343053113521229,0.8312755943724922,0.8343053113521229,0.8343076442425047
0.8701912208175793,0.8484584718764688,0.846201594559649,0.8484584718764688,0.8484605808112671
0.8549909240022403,0.826575910032554,0.8230341145929478,0.826575910032554,0.8265734473305694
0.8496501007915279,0.8179586720749265,0.8137374957918105,0.8179586720749265,0.8179560514771046
