precision,recall,WAF,accuracy,AUC
0.7676132515494217,0.7670807453416149,0.7669648199536776,0.7670807453416149,0.7670807453416149
0.7599880498076353,0.7595990965556183,0.7595091504041511,0.7595990965556183,0.7595990965556183
0.7729672574299575,0.7725700571751253,0.7724877259637148,0.7725700571751253,0.7725714013073827
0.7704721495131541,0.7702407002188184,0.7701918747173839,0.7702407002188184,0.7702417304442055
0.7628730268030464,0.7624761770311287,0.7623869704022647,0.7624761770311287,0.7624775460254163
0.7713883193981005,0.7711583256864545,0.7711101651455643,0.7711583256864545,0.771159350933949
0.771536511233606,0.7710171525375874,0.7709071054413448,0.7710171525375874,0.7710156068326888
0.7783596741800558,0.7777228771087739,0.7775951544919045,0.7777228771087739,0.7777211869458155
0.7688836557916279,0.7685466224324133,0.7684736566182881,0.7685466224324133,0.7685453706806118
0.7668446329751483,0.7666407849227077,0.766595881913113,0.7666407849227077,0.7666398071969587
