precision,recall,WAF,accuracy,AUC
0.8008424165568785,0.7733625070581592,0.7680661110657458,0.7733625070581592,0.7733625070581592
0.7906383096743297,0.7620694522868436,0.7560751864064863,0.7620694522868436,0.7620694522868435
0.8032378316449112,0.7739112020893626,0.7683060187707049,0.7739112020893626,0.7739002245935563
0.7973605588396605,0.7695348344744829,0.7640107630052676,0.7695348344744829,0.7695240363255943
0.7973826493471339,0.7698877673466507,0.7644396809938692,0.7698877673466507,0.7698770339715592
0.7992544618888843,0.7705230465165526,0.7648761142989253,0.7705230465165526,0.7705121088635811
0.7951322275115005,0.7675584103903438,0.7620028687253925,0.7675584103903438,0.767569196267887
0.7956059920141957,0.7679113432625114,0.7623484810001676,0.7679113432625114,0.7679221440892066
0.8019026198968094,0.7734876826427614,0.7680327970632779,0.7734876826427614,0.7734985084095629
0.7955782667184079,0.7652996400084704,0.7591347565517115,0.7652996400084704,0.7653109340861397
