precision,recall,WAF,accuracy,AUC
0.7553334108262368,0.7547461642378401,0.7546051238257494,0.7547461642378401,0.7547463207068107
0.755160149148038,0.7544524861481834,0.7542820547088517,0.7544524861481834,0.75445231428295
0.7565746259773622,0.7558801263476649,0.7557148177479073,0.7558801263476649,0.7558801263476649
0.756292989568406,0.7555929725637612,0.755425970356704,0.7555929725637612,0.7555929725637611
0.7526675757513889,0.7519904978202417,0.751824237536042,0.7519904978202417,0.7519904978202417
0.7557287240812551,0.7550056125512309,0.7548323003910368,0.7550056125512309,0.7550056125512308
0.7543372760024479,0.753537212519905,0.7533432367566046,0.753537212519905,0.753537212519905
0.7554326532819997,0.7547054063226042,0.754530686284141,0.7547054063226042,0.7547054063226042
0.7564756575608333,0.7557691805675203,0.7556008776974402,0.7557691805675203,0.7557691805675203
0.7547812638771696,0.754046257864098,0.7538687448576651,0.754046257864098,0.754046257864098
