precision,recall,WAF,accuracy,AUC
0.7171655570153386,0.7139258159569921,0.712854886678292,0.7139258159569921,0.7139258159569921
0.7154565965259664,0.712313771359591,0.7112608252447222,0.712313771359591,0.7123137713595908
0.715984414114172,0.7129585891985514,0.7119497320533741,0.7129585891985514,0.7129585891985514
0.7157576340814922,0.7126699207473889,0.7116382324847779,0.7126699207473889,0.7126699207473888
0.7132582807997472,0.7102143644420451,0.70917660628088,0.7102143644420451,0.7102143644420451
0.7134210718817826,0.7103005900833015,0.7092377636032806,0.7103005900833015,0.7103005900833015
0.7134563301904291,0.7104655434839657,0.7094477947103188,0.7104655434839657,0.7104655434839658
0.7169359068182493,0.713607155978436,0.7125042938620564,0.713607155978436,0.713607155978436
0.7131675052937139,0.7099958386599735,0.7089131975937336,0.7099958386599735,0.7099960672971624
0.7153902964005164,0.7121664835926985,0.7110853050357817,0.7121664835926985,0.7121662542587098
