precision,recall,WAF,accuracy,AUC
0.7619910030331554,0.6346414390990751,0.5840992829684853,0.6346414390990751,0.6346387090537751
0.7619306373789161,0.6343986655285024,0.5837271542263593,0.6343986655285024,0.6343959332139437
0.7641566898611923,0.6365366392306427,0.5866084351397586,0.6365366392306427,0.6365393608902394
0.7639916422700758,0.6362155516050465,0.5861381406696452,0.6362155516050465,0.636218275779191
0.7618091636553604,0.633651812984572,0.582567850078293,0.633651812984572,0.6336518129845721
0.7620429858013978,0.6360012530346933,0.5862479402454069,0.6360012530346933,0.6360012530346935
0.7635731485154647,0.6354922076905004,0.5850863411546251,0.6354922076905004,0.6354922076905004
0.7626240748713803,0.636103062103532,0.5862742303288917,0.636103062103532,0.636103062103532
0.7624850623132284,0.635413893022163,0.5852135082364182,0.635413893022163,0.6354138930221631
0.7644488158817919,0.6363693319758791,0.5862748522286764,0.6363693319758791,0.6363693319758791
