precision,recall,WAF,accuracy,AUC
0.7630607743323489,0.6579233146771364,0.6199496480960345,0.6579233146771364,0.6579233146771364
0.7615187801771379,0.6552501879542227,0.6162676143236125,0.6552501879542227,0.6552501879542227
0.7663223534960204,0.6600430206331969,0.6223683374568517,0.6600430206331969,0.6600430206331969
0.7637988369573856,0.657406440564698,0.6189902976534392,0.657406440564698,0.657406440564698
0.7627370040252803,0.6571140673293794,0.618802781667551,0.6571140673293794,0.6571140673293793
0.7619151269840617,0.6568686826497369,0.6186295705685277,0.6568686826497369,0.6568686826497369
0.7653184356491983,0.6579215287023259,0.619406001296966,0.6579215287023259,0.6579198678258867
0.7634255335196468,0.6569243219254967,0.6183486889304262,0.6569243219254967,0.6569226620575987
0.764142810871484,0.6583026600882346,0.6202641382770342,0.6583026600882346,0.6583043125231244
0.7624512567975071,0.6568929960581616,0.6185376809937526,0.6568929960581616,0.6568946516004948
