precision,recall,WAF,accuracy,AUC
0.7798767767433049,0.7784672927643739,0.7781880266294351,0.7784672927643739,0.7784672927643739
0.7801567077892906,0.7788244065333024,0.7785611402409213,0.7788244065333024,0.7788244065333023
0.7813607745873067,0.7801118956475976,0.7798676196872013,0.7801118956475976,0.7801118956475975
0.7803959676423193,0.779225376379117,0.7789947143097532,0.779225376379117,0.7792253763791169
0.7800593926731452,0.7787241640718487,0.7784601072245328,0.7787241640718487,0.7787241640718489
0.7810403614741395,0.7797234561094648,0.7794651092485324,0.7797234561094648,0.7797234561094648
0.7789260441537845,0.7775181219574847,0.7772370143318167,0.7775181219574847,0.7775181219574846
0.7807055239291505,0.7794227287251039,0.7791704366604532,0.7794227287251039,0.7794227287251039
0.7806167182551159,0.7792848953406051,0.7790227026333695,0.7792848953406051,0.7792848953406051
0.780783665270957,0.779563694686523,0.779323992140063,0.779563694686523,0.7795636946865231
