precision,recall,WAF,accuracy,AUC
0.6787828405294543,0.6787826625813337,0.6787825847333535,0.6787826625813337,0.6787826659795266
0.6781123313255417,0.6781078941026613,0.6781058998223407,0.6781078941026613,0.6781079112493255
0.6768893808488303,0.676889179605467,0.6768890899630907,0.676889179605467,0.6768891832406134
0.6747685095661321,0.6747684786724963,0.6747684633770644,0.6747684786724963,0.6747684771874098
0.6774217976028876,0.6774124694460701,0.6774082139002049,0.6774124694460701,0.6774124444464277
0.6775296978456964,0.6775295211209419,0.6775294429692593,0.6775295211209419,0.6775295245190754
0.6788906212918205,0.67889061789939,0.6788906163770333,0.67889061789939,0.6788906178993899
0.6771084886647372,0.6771072889268354,0.6771067421048241,0.6771072889268354,0.6771072889268354
0.6758342529139227,0.6758334825178677,0.6758331274435923,0.6758334825178677,0.6758334825178678
0.6766292949222458,0.6766253081234421,0.6766234833452955,0.6766253081234421,0.6766253081234422
