precision,recall,WAF,accuracy,AUC
0.8325939664134372,0.80407204385278,0.7997737445541439,0.80407204385278,0.804049104518264
0.8331673278782956,0.805324980422866,0.8011653594345769,0.805324980422866,0.8053023354659747
0.8254489943506,0.7971808927173062,0.7926728827544387,0.7971808927173062,0.7971578060403122
0.8306997054217681,0.8073610023492561,0.8039062883205423,0.8073610023492561,0.8073817981376868
0.8274967242259724,0.8009397024275646,0.796826449398438,0.8009397024275646,0.8009619943218522
0.8366209928861033,0.8119028974158183,0.8083903992279635,0.8119028974158183,0.8119241103070861
0.8382175685642483,0.8110902255639098,0.8072247550217535,0.8110902255639098,0.8110902255639099
0.834531830177249,0.8081140350877193,0.8042494568388001,0.8081140350877193,0.8081140350877193
0.8306394429968817,0.8038847117794486,0.7998354761634772,0.8038847117794486,0.8038847117794485
0.8356582024724357,0.8092105263157895,0.8053767660910518,0.8092105263157895,0.8092105263157895
