precision,recall,WAF,accuracy,AUC
0.7711274616721078,0.7711267605633803,0.7711266126024098,0.7711267605633803,0.7711267605633803
0.7703586889764452,0.770322723744039,0.7703150851220152,0.770322723744039,0.7703227237440391
0.7673287866075207,0.7673006543196185,0.767294532142036,0.7673006543196185,0.7673006543196186
0.7733969136201794,0.7733447931684596,0.7733339902531476,0.7733447931684596,0.7733447931684595
0.7685303821007923,0.7685205722524121,0.7685184581538038,0.7685205722524121,0.7685205722524121
0.7674828974086519,0.7674670067649995,0.7674635531294127,0.7674670067649995,0.7674670067649993
0.7686744791757955,0.7686591992902295,0.7686559100764278,0.7686591992902295,0.7686591992902296
0.7723221718015824,0.7723189530886104,0.7723182803173669,0.7723189530886104,0.7723189530886103
0.7699662567854141,0.7698791172230232,0.7698605461509047,0.7698791172230232,0.7698791172230232
0.7703795047367357,0.770378174559166,0.7703778921429955,0.770378174559166,0.770378174559166
