precision,recall,WAF,accuracy,AUC
0.8205601892934771,0.8205369169564264,0.8205336596889145,0.8205369169564264,0.8205369169564264
0.8168456165226017,0.8168405225072831,0.8168397863278274,0.8168405225072831,0.8168405225072831
0.8151925780529279,0.8141749549690657,0.8140247392091131,0.8141749549690657,0.8141745098994089
0.8198919799578445,0.8198919257576944,0.8198919188647621,0.8198919257576944,0.8198919289027664
0.8158027494715547,0.815334012060459,0.8152653909441485,0.815334012060459,0.8153337102623412
0.81723897281802,0.8171509123658861,0.8171381917503883,0.8171509123658861,0.8171507818068029
0.8218071731181145,0.8215052079254445,0.8214632711106384,0.8215052079254445,0.8215049679513684
0.8187963531540442,0.8185605763959589,0.8185270723856816,0.8185605763959589,0.8185607892957092
0.8185590701119432,0.8183882841256167,0.8183639817397655,0.8183882841256167,0.8183884653780784
0.8157850621290376,0.8156785966011434,0.8156630937373425,0.8156785966011434,0.815678740317834
