precision,recall,WAF,accuracy,AUC
0.8199923787988106,0.8199716503120815,0.8199687275212479,0.8199716503120815,0.8199716187769513
0.8192957429815287,0.8192746552223727,0.8192716638092841,0.8192746552223727,0.8192746233805454
0.819559476684418,0.8195330916039502,0.8195293746045677,0.8195330916039502,0.819533127164811
0.8212133603656876,0.8212011809759497,0.8211994915981606,0.8212011809759497,0.8212012050680324
0.8202117899153574,0.8201816900305428,0.820177464204242,0.8201816900305428,0.8201816900305426
0.8204089998348294,0.8203853081682199,0.8203819878416503,0.8203853081682199,0.8203853081682199
0.822976105293064,0.8229618607565197,0.822959908712693,0.8229618607565197,0.8229618607565198
0.8210378056954297,0.820980499647584,0.8209725104343973,0.820980499647584,0.820980499647584
0.8205607440938544,0.820534106038061,0.8205303776325232,0.820534106038061,0.820534106038061
0.8212484823906379,0.8212389380530973,0.8212376102891698,0.8212389380530973,0.8212389380530973
