precision,recall,WAF,accuracy,AUC
0.9351043652775257,0.9332142969019203,0.9331416897368587,0.9332142969019203,0.9332142969019203
0.9105062945382317,0.9104250853616515,0.9104206550612286,0.9104250853616515,0.9104250853616516
0.9047080502714145,0.9047067115670765,0.9047066342791374,0.9047067115670765,0.9047067257726931
0.8941121791997277,0.8937113321325084,0.8936843291258205,0.8937113321325084,0.8937115818498189
0.8827085761047333,0.8816038844075496,0.8815184423433633,0.8816038844075496,0.8816043051151511
0.8648824335929072,0.861445688777508,0.861118790979799,0.861445688777508,0.8614464487680844
0.863355685619145,0.8599733730127653,0.8596466258552724,0.8599733730127653,0.8599726173697402
0.8716123424014899,0.8690108857388988,0.8687811370116498,0.8690108857388988,0.8690102304370347
0.8563642855090776,0.8522358837810322,0.8518065368944177,0.8522358837810322,0.8522350407995221
0.8518440799772938,0.8457044404416947,0.8450281868926286,0.8457044404416947,0.8457034058578117
