precision,recall,WAF,accuracy,AUC
0.6727538435067815,0.5858785201892053,0.5263278623424664,0.5858785201892053,0.5858785201892053
0.6754644067221159,0.5855026156689535,0.5245626240928238,0.5855026156689535,0.5855026156689533
0.6754969297738351,0.5871094055916674,0.5276281789619299,0.5871094055916674,0.5871038475960624
0.6723275070686275,0.5859190226329392,0.5265670213368727,0.5859190226329392,0.5859134769034167
0.6738821750219531,0.5875636306680241,0.5291204410757193,0.5875636306680241,0.5875581126609116
0.6742085504037804,0.5867021693163129,0.5273424875885983,0.5867021693163129,0.5866966186804328
0.6729930310306319,0.5871563943926698,0.5286977971968052,0.5871563943926698,0.5871619107253534
0.6732423210935898,0.5865925287806406,0.5275174450847525,0.5865925287806406,0.5865980671926602
0.673371073517818,0.5858407079646017,0.5260206599170867,0.5858407079646017,0.585846272381151
0.67610853632179,0.5878925522750411,0.5289018151556033,0.5878925522750411,0.587898094857947
