precision,recall,WAF,accuracy,AUC
0.728534325368563,0.7258403032296463,0.7250299485872415,0.7258403032296463,0.7258403032296464
0.7271226852431745,0.7244776493437334,0.7236731342872478,0.7244776493437334,0.7244776493437334
0.7260747641368556,0.7236275354373874,0.7228779452141506,0.7236275354373874,0.7236283501021836
0.7256465942135248,0.7230166810243559,0.7222076398076492,0.7230166810243559,0.7230175263549385
0.7248705437667529,0.722264860208317,0.721458338782242,0.722264860208317,0.7222657030854405
0.7287127753708289,0.7257890202834991,0.7249102534708608,0.7257890202834991,0.7257899056031432
0.7223752097768965,0.7199310830918632,0.7191590281574418,0.7199310830918632,0.7199302619120417
0.7280491342143561,0.7252878064061399,0.7244533153454433,0.7252878064061399,0.725286944503269
0.7251541095458269,0.7224371524786593,0.721596887955974,0.7224371524786593,0.7224362920470542
0.7273902957628191,0.7249118959981204,0.7241599184842018,0.7249118959981204,0.7249110782541058
