,0,1,2,3,4
8,0.5944565529045576,0.5943987100657876,0.5942970888868524,0.5940107265774589,0.5937568383411893
6,0.6380540340748164,0.6381856490714045,0.638009895402747,0.6378885090892134,0.6375669629019768
4,0.6659951807919113,0.6661905200061105,0.665680601362823,0.66579259034247,0.6657638458800635
2,0.6812048982446223,0.6814824908189222,0.6811008881196503,0.6807330684547751,0.6808516139864254
0,0.6823233268929304,0.6824487513721236,0.6823114093280913,0.6818418079760901,0.6822465789563421
