,PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
800,0.8815346634321438,0.04506674405623223,0.8668952240722432,0.06117102517297501,0.8655877506287999,0.06324054228713172,0.8668952240722432,0.06117102517297501,0.866896149589979,0.0611721420655188
600,0.9013985808546638,0.0010989820390114868,0.9009208968734769,0.0011916134456658733,0.9008912048131714,0.001199437668333303,0.9009208968734769,0.0011916134456658733,0.9009208968734765,0.0011918626202813698
400,0.825134666302101,0.0015995518697213829,0.8241591811155212,0.0016481520171888198,0.8240271988480736,0.0016565890780919634,0.8241591811155212,0.0016481520171888198,0.8241591811155212,0.0016478975019295072
200,0.7259669142338597,0.004340609947191987,0.7248948950369747,0.00408585475969836,0.7245681395154568,0.004020741409454631,0.7248948950369747,0.00408585475969836,0.7248946064840289,0.004085082782393945
0,0.6921660150281896,0.0019499006951533282,0.6916508538899431,0.0018278671401712465,0.6914438052728293,0.001782406863179209,0.6916508538899431,0.0018278671401712465,0.6916504029976986,0.0018278671401713575
