,PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
800,0.8822009493426128,0.036293198909813085,0.8818849662279785,0.03452719523333725,0.8818627385277951,0.03442597282551729,0.8818849662279785,0.03452719523333725,0.8818849662279786,0.0345270871568496
600,0.8862776177129457,0.0252901218545889,0.880083211475524,0.021074972358892996,0.8796028368702242,0.020864119934456915,0.880083211475524,0.021074972358892996,0.8800832114755239,0.021075902028966143
400,0.8709514720685261,0.023383747938898636,0.8555810876679897,0.017019228313221446,0.8540704404585191,0.01665536018948277,0.8555810876679897,0.017019228313221446,0.8555810876679897,0.017020805018774565
200,0.854071196705467,0.021995755766967218,0.8230885732191351,0.014347617950862479,0.8191328396506099,0.013884821929653013,0.8230885732191351,0.014347617950862479,0.8230885732191351,0.014349992163283365
0,0.8378512155592053,0.01769258635475035,0.788019636515563,0.009652319436017187,0.7799039744038794,0.009053794668131832,0.788019636515563,0.009652319436017187,0.788019636515563,0.00965075534385651
