,PRECISION(MEDIAN),PRECISION(IQR),RECALL(MEDIAN),RECALL(IQR),WAF(MEDIAN),WAF(IQR),ACCURACY(MEDIAN),ACCURACY(IQR),ROC AUC(MEDIAN),ROC AUC(IQR)
800,0.8831707724904384,0.03683743659564387,0.8828511245734977,0.035114729108860376,0.8828287848666163,0.03501743700526583,0.8828511245734977,0.035114729108860376,0.8828511245734976,0.03511459406029904
600,0.8822809978285431,0.02809351721689135,0.8755048394958569,0.023464349932849515,0.8749530681689939,0.023225140458395632,0.8755048394958569,0.023464349932849515,0.8755048394958569,0.023465287029482362
400,0.8504598140537394,0.02368260295475655,0.8253081261750574,0.01635385723580407,0.8221213878752502,0.015687888995775667,0.8253081261750574,0.01635385723580407,0.8253081261750573,0.016356020291465212
200,0.8093157856683535,0.015815704806311892,0.7252802729614929,0.0063022592249535325,0.7060852501725241,0.005848104175824043,0.7252802729614929,0.0063022592249535325,0.7252802729614929,0.006300114870382512
0,0.7919535152697887,0.014328175001208754,0.6786957732748415,0.00631613934344577,0.6441878217711661,0.005777019491552626,0.6786957732748415,0.00631613934344577,0.6786957732748415,0.006321467731979169
