,StaticvsGrowing,StaticvsUniform,GrowingvsUniform
NormalRandomForestClassifier,0.4496917979688917,1.0,0.4496917979688917
NormalXGBClassifier,1.0,1.0,1.0
WeightedRandomForestClassifier,0.25683925795785484,1.0,0.25683925795785484
WeightedXGBClassifier,0.939742989577122,1.0,0.939742989577122
PURandomForestClassifier,0.0001570522842307523,1.0,0.0001570522842307523
PUXGBClassifier,0.7054569861112774,0.9096880762235137,0.6501474440948594
