,StaticvsGrowing,StaticvsUniform,GrowingvsUniform
NormalRandomForestClassifier,0.0001570522842307523,0.0001570522842307523,0.0001570522842307523
NormalXGBClassifier,0.0008807431907417276,0.0001570522842307523,0.0001570522842307523
WeightedRandomForestClassifier,0.0001570522842307523,0.0001570522842307523,0.0001570522842307523
WeightedXGBClassifier,0.0019397281129030423,0.0001570522842307523,0.0001570522842307523
PURandomForestClassifier,0.0001570522842307523,0.0001570522842307523,0.0001570522842307523
PUXGBClassifier,0.112410584655364,0.0001570522842307523,0.0001570522842307523
